
2025/02/01 (23:02:12) | ===> btop++ v.1.3.0
2025/02/01 (23:02:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/01 (23:02:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/01 (23:05:51) | ===> btop++ v.1.3.0
2025/02/01 (23:05:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/01 (23:05:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/01 (23:06:29) | ===> btop++ v.1.3.0
2025/02/01 (23:06:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/01 (23:06:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/02 (00:18:07) | ===> btop++ v.1.3.0
2025/02/02 (00:18:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/02 (00:18:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
